,name_product,price_product,link_product
0,Juguete De Actividades Fisher Price Robi Rueda Conmigo,389.925,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=TIKyUHqgd8qwMStWMI6f4d1rCRzJC%2BmyMu1MIF%2BiHeK3q80F0qmAvIHaNR7MuyAYRvN3T2mLEnyYIRzz993K4AZal1acp2TN%2FIMoRr2%2B4OzgERHeU7s8%2BK6FEvZHgypBHhWqkJgn95M7WbLSFYUhHb%2FEk9HadudDhAhNGEE5GM6C0akjyJUQoUPq3Ppfuyhru4NDiy0B5GkfXZHah4pg4AkDfZpG6m%2FogURo7Wq%2FmU2up8RBZIvnkGlXhB5AaJtuoRqLb5SCQrfWLnRikMqPWEMxnnlVCp3YQedbMdHtRwJiL7muKkvhO2rLZpeThTJrLurRcszXTDWa0wUQ5vWa6IYGO%2FVw%2F67XcyjATLwc37I%2B8k%2FDMfkPd3QHMIMJ%2FYJHewkZyo9bSSDQBDbm7gZvxFRdeKC8FFVKhckt%2FQ5b7Io0GHdjnCK5FyzS1DpTj1eaiQnQ02Bndum8%2BQfg48jsbM33QQede4sMJ0BPbIlZvm8KCp298VeqnI1kM8pGgyA7roIH97stZjP06x3A1E92hx36Q0ugFoobMHzQZ6aY6HDmk26AiTm18KVIg3zvQ1DhapKpx6UT2EiaYiPaDXOOk3IuBAJUKDJpAac%2BmcwuXZptv%2Bhl%2FEJWp5kHMrHiNdpvLGwvHadV4LG3iJ3TnAbIhQpxFmWHwhYzpaWPupglX3V1zJozpadK1qFgQPxUJ25H5ecj4JkcPwHqiNn1Xm2K6ZvhSnzv%2BNnOJbXAZUW%2BoIGjVMgWHgTL%2FyjQZxvOwY36nFWipD%2FmxDEFMq%2BjnkAaPw%3D%3D&rb=x
1,Perros Australian Shepherd Pastor Ovejero Australiano,7.740.000,https://articulo.mercadolibre.com.co/MCO-849190968-perros-australian-shepherd-pastor-ovejero-australiano-_JM?searchVariation=174089052592#searchVariation=174089052592&position=2&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
2,Cachorros Cocker Spaniel Mascotas Rionegro Medellin Bogotá,980.000,https://articulo.mercadolibre.com.co/MCO-869927906-cachorros-cocker-spaniel-mascotas-rionegro-medellin-bogota-_JM?searchVariation=174300306408#searchVariation=174300306408&position=3&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
3,Perro Cachorro Pomernia Lulu,1.900.000,https://articulo.mercadolibre.com.co/MCO-836483392-perro-cachorro-pomernia-lulu-_JM?searchVariation=173952456996#searchVariation=173952456996&position=4&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
4,Perros Cachorros Pastor Alemán Aleman Perro De Pastoreo Pupy,5.160.000,https://articulo.mercadolibre.com.co/MCO-849193466-perros-cachorros-pastor-aleman-aleman-perro-de-pastoreo-pupy-_JM?searchVariation=174089057977#searchVariation=174089057977&position=5&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
5,Cachorro Dachshund Mini Teckel Perro Salchicha Puppy,1.700.000,https://articulo.mercadolibre.com.co/MCO-890203836-cachorro-dachshund-mini-teckel-perro-salchicha-puppy-_JM?searchVariation=174478553133#searchVariation=174478553133&position=6&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
6,Cachorro Pastor Belga Malinois Puppy Pastor Belga Perrito,3.180.000,https://articulo.mercadolibre.com.co/MCO-861164269-cachorro-pastor-belga-malinois-puppy-pastor-belga-perrito-_JM?searchVariation=174210432687#searchVariation=174210432687&position=7&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
7,Perros Cachorros Pastor Alemán Aleman Perro De Pastoreo Pupy,2.500.000,https://articulo.mercadolibre.com.co/MCO-849161271-perros-cachorros-pastor-aleman-aleman-perro-de-pastoreo-pupy-_JM?searchVariation=174089186778#searchVariation=174089186778&position=8&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
8,Hermoso Cachorro American Bully,4.500.000,https://articulo.mercadolibre.com.co/MCO-839926919-hermoso-cachorro-american-bully-_JM?searchVariation=173987364016#searchVariation=173987364016&position=9&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
9,Espectaculares Pomerania Mini Mascotas Rionegro,2.000.000,https://articulo.mercadolibre.com.co/MCO-830711134-espectaculares-pomerania-mini-mascotas-rionegro-_JM?searchVariation=173907561899#searchVariation=173907561899&position=10&search_layout=stack&type=item&tracking_id=829a4804-2222-49cd-af64-8c3235589ab7
